"","Threshold: 21.85%","Threshold: 27%","Threshold: 52.13%","Threshold: 56.33%","Threshold: 65.59%"
"Count","2088","2088","2088","2088","2088"
"Count_Buy","892","892","892","892","892"
"Count_Sell","1196","1196","1196","1196","1196"
"Percent_buy","42.72 %","42.72 %","42.72 %","42.72 %","42.72 %"
"Percent_sell","57.28 %","57.28 %","57.28 %","57.28 %","57.28 %"
"Prob_pred_Buy_given_Buy_LinearGaussian","69.17 %","69.17 %","69.17 %","69.17 %","69.17 %"
"Prob_pred_Buy_given_Sell_LinearGaussian","68.31 %","68.31 %","68.31 %","68.31 %","68.31 %"
"Prob_pred_Sell_given_Buy_LinearGaussian","30.83 %","30.83 %","30.83 %","30.83 %","30.83 %"
"Prob_pred_Sell_given_Sell_LinearGaussian","31.69 %","31.69 %","31.69 %","31.69 %","31.69 %"
"Prob_Buy_given_pred_Buy_LinearGaussian","43.03 %","43.03 %","43.03 %","43.03 %","43.03 %"
"Prob_Buy_given_pred_Sell_LinearGaussian","42.05 %","42.05 %","42.05 %","42.05 %","42.05 %"
"Prob_Sell_given_pred_Buy_LinearGaussian","56.97 %","56.97 %","56.97 %","56.97 %","56.97 %"
"Prob_Sell_given_pred_Sell_LinearGaussian","57.95 %","57.95 %","57.95 %","57.95 %","57.95 %"
"Pred_Accuracy_LinearGaussian","44.97 %","44.97 %","44.97 %","44.97 %","44.97 %"
"Prob_pred_Buy_given_Buy_Logistic_plain","0.22 %","0.22 %","8.07 %","49.44 %","99.33 %"
"Prob_pred_Buy_given_Sell_Logistic_plain","0 %","0.08 %","7.11 %","47.74 %","99.25 %"
"Prob_pred_Sell_given_Buy_Logistic_plain","99.78 %","99.78 %","91.93 %","50.56 %","0.67 %"
"Prob_pred_Sell_given_Sell_Logistic_plain","100 %","99.92 %","92.89 %","52.26 %","0.75 %"
"Prob_Buy_given_pred_Buy_Logistic_plain","100 %","66.67 %","45.86 %","43.58 %","42.74 %"
"Prob_Buy_given_pred_Sell_Logistic_plain","42.67 %","42.69 %","42.47 %","41.91 %","40 %"
"Prob_Sell_given_pred_Buy_Logistic_plain","0 %","33.33 %","54.14 %","56.42 %","57.26 %"
"Prob_Sell_given_pred_Sell_Logistic_plain","57.33 %","57.31 %","57.53 %","58.09 %","60 %"
"Pred_Accuracy_Logistic_plain","57.38 %","57.33 %","56.66 %","51.05 %","42.86 %"
"Prob_pred_Buy_given_Buy_BiasReduction","1.23 %","1.23 %","1.23 %","1.23 %","1.23 %"
"Prob_pred_Buy_given_Sell_BiasReduction","0.59 %","0.59 %","0.59 %","0.59 %","0.59 %"
"Prob_pred_Sell_given_Buy_BiasReduction","98.77 %","98.77 %","98.77 %","98.77 %","98.77 %"
"Prob_pred_Sell_given_Sell_BiasReduction","99.41 %","99.41 %","99.41 %","99.41 %","99.41 %"
"Prob_Buy_given_pred_Buy_BiasReduction","61.11 %","61.11 %","61.11 %","61.11 %","61.11 %"
"Prob_Buy_given_pred_Sell_BiasReduction","42.56 %","42.56 %","42.56 %","42.56 %","42.56 %"
"Prob_Sell_given_pred_Buy_BiasReduction","38.89 %","38.89 %","38.89 %","38.89 %","38.89 %"
"Prob_Sell_given_pred_Sell_BiasReduction","57.44 %","57.44 %","57.44 %","57.44 %","57.44 %"
"Pred_Accuracy_BiasReduction","57.47 %","57.47 %","57.47 %","57.47 %","57.47 %"
"Prob_pred_Buy_given_Buy_Bayesian","0.22 %","0.22 %","7.85 %","49.89 %","99.33 %"
"Prob_pred_Buy_given_Sell_Bayesian","0.08 %","0.08 %","6.61 %","47.74 %","99.33 %"
"Prob_pred_Sell_given_Buy_Bayesian","99.78 %","99.78 %","92.15 %","50.11 %","0.67 %"
"Prob_pred_Sell_given_Sell_Bayesian","99.92 %","99.92 %","93.39 %","52.26 %","0.67 %"
"Prob_Buy_given_pred_Buy_Bayesian","66.67 %","66.67 %","46.98 %","43.8 %","42.72 %"
"Prob_Buy_given_pred_Sell_Bayesian","42.69 %","42.69 %","42.39 %","41.7 %","42.86 %"
"Prob_Sell_given_pred_Buy_Bayesian","33.33 %","33.33 %","53.02 %","56.2 %","57.28 %"
"Prob_Sell_given_pred_Sell_Bayesian","57.31 %","57.31 %","57.61 %","58.3 %","57.14 %"
"Pred_Accuracy_Bayesian","57.33 %","57.33 %","56.85 %","51.25 %","42.82 %"
"Prob_pred_Buy_given_Buy_Lasso","0 %","0 %","1.46 %","51.57 %","100 %"
"Prob_pred_Buy_given_Sell_Lasso","0 %","0 %","1.17 %","49.41 %","99.92 %"
"Prob_pred_Sell_given_Buy_Lasso","100 %","100 %","98.54 %","48.43 %","0 %"
"Prob_pred_Sell_given_Sell_Lasso","100 %","100 %","98.83 %","50.59 %","0.08 %"
"Prob_Buy_given_pred_Buy_Lasso","NaN %","NaN %","48.15 %","43.77 %","42.74 %"
"Prob_Buy_given_pred_Sell_Lasso","42.72 %","42.72 %","42.65 %","41.66 %","0 %"
"Prob_Sell_given_pred_Buy_Lasso","NaN %","NaN %","51.85 %","56.23 %","57.26 %"
"Prob_Sell_given_pred_Sell_Lasso","57.28 %","57.28 %","57.35 %","58.34 %","100 %"
"Pred_Accuracy_GLMnet_Lasso","57.28 %","57.28 %","57.23 %","51.01 %","42.77 %"
"Prob_pred_Buy_given_Buy_Ridge","0 %","0 %","0.34 %","46.41 %","99.89 %"
"Prob_pred_Buy_given_Sell_Ridge","0 %","0 %","1 %","44.82 %","99.92 %"
"Prob_pred_Sell_given_Buy_Ridge","100 %","100 %","99.66 %","53.59 %","0.11 %"
"Prob_pred_Sell_given_Sell_Ridge","100 %","100 %","99 %","55.18 %","0.08 %"
"Prob_Buy_given_pred_Buy_Ridge","NaN %","NaN %","20 %","43.58 %","42.71 %"
"Prob_Buy_given_pred_Sell_Ridge","42.72 %","42.72 %","42.88 %","42 %","50 %"
"Prob_Sell_given_pred_Buy_Ridge","NaN %","NaN %","80 %","56.42 %","57.29 %"
"Prob_Sell_given_pred_Sell_Ridge","57.28 %","57.28 %","57.12 %","58 %","50 %"
"Pred_Accuracy_GLMnet_Ridge","57.28 %","57.28 %","56.85 %","51.44 %","42.72 %"
